Time,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL -STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL +STAR -CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL -STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR,IFFL +STAR +CRISPR
175,-0.000248888,-0.000248888,-0.000165925,-0.000248888,-0.000497776,-0.000248888,0.000414814,0.000580739,-0.000414814,0.074002753,0.058571686,0.060230941,0.087940492,0.086530125,0.077487188,0.109344875,0.034512495,0.100136013,-0.000331851,-0.001327404,-0.000331851,-0.001161478,-0.000663702,-0.000663702,8.29627E-05,-8.29627E-05,-8.29627E-05,0.009706639,0.011117006,0.010370341,0.011531819,0.011034043,0.012444409,0.013605887,0.015928844,0.014186626
180,0.000331851,8.29627E-05,-8.29627E-05,-0.000248888,0,-0.000331851,0.000497776,0.000165925,0.000165925,0.075910896,0.060479829,0.062139083,0.091093075,0.089184933,0.079727182,0.112663385,0.035259159,0.103039708,-0.000165925,-0.000746665,-0.000331851,-0.000663702,-0.000746665,-0.000746665,-8.29627E-05,-0.000165925,-0.000165925,0.009374788,0.01186367,0.010121453,0.012112558,0.011448856,0.012942186,0.013605887,0.015016254,0.014435515
185,0.000497776,0.000331851,0.000165925,-0.000414814,-0.000165925,-0.000248888,0.000331851,0.000497776,8.29627E-05,0.077819039,0.063383524,0.063466487,0.093084181,0.092420479,0.081054585,0.114073751,0.035673973,0.105445627,8.29627E-05,-0.000165925,0.000248888,-0.000663702,-0.000663702,-0.000414814,0,-0.000248888,0.000414814,0.009872565,0.012195521,0.010204416,0.011697745,0.011697745,0.013191074,0.014269589,0.014767366,0.013605887
190,-8.29627E-05,-0.000165925,-0.000497776,-0.00091259,-8.29627E-05,-0.000414814,0.000165925,0.000497776,8.29627E-05,0.079229405,0.06354945,0.063881301,0.095656025,0.092918255,0.083875318,0.116977446,0.036254712,0.107602658,-0.000663702,-0.001078515,-0.000497776,-0.001410366,-0.001078515,-0.000829627,8.29627E-05,0,0.000248888,0.009872565,0.011365894,0.010121453,0.012029596,0.012444409,0.012693297,0.01368885,0.015348105,0.015016254
195,0.000414814,0.000331851,-8.29627E-05,-0.000829627,-0.000248888,-0.000414814,-8.29627E-05,8.29627E-05,-0.000331851,0.081054585,0.065540555,0.067033884,0.097149354,0.096734541,0.085617535,0.118470776,0.036918414,0.110589316,8.29627E-05,-0.000746665,-0.000165925,-0.001078515,-0.00091259,-0.00091259,8.29627E-05,0.000248888,0.000414814,0.009789602,0.011697745,0.010536266,0.01095108,0.011282931,0.012942186,0.013439962,0.015431067,0.014352552
200,0.000165925,0.000414814,-8.29627E-05,-0.000248888,0.000414814,0,-0.000580739,-0.000248888,-0.00091259,0.083211616,0.0681124,0.067614623,0.100882677,0.097647131,0.087774566,0.121291508,0.037913967,0.110423391,8.29627E-05,-0.000663702,0.000331851,-0.000414814,-0.00091259,-0.000580739,-0.000580739,-8.29627E-05,-0.000746665,0.010370341,0.011946633,0.01095108,0.011946633,0.012112558,0.013274036,0.012693297,0.014767366,0.013854776
205,0.001327404,0.000580739,0.000165925,-0.000580739,-0.000248888,0,0.000248888,0.000331851,-0.000331851,0.085368647,0.069522766,0.06993758,0.102458969,0.099306385,0.087857529,0.124610017,0.037913967,0.114322639,0.000414814,-0.000414814,0.000580739,-0.00091259,-0.00091259,-0.000663702,-0.000331851,-0.000580739,-0.000248888,0.011199968,0.013025148,0.011034043,0.012029596,0.011531819,0.012610335,0.013522925,0.015099216,0.014435515
210,0.000497776,-0.000663702,-0.000414814,-0.000746665,-0.000331851,-0.000331851,0.000580739,0.000248888,0.000497776,0.085783461,0.069771654,0.072758312,0.104367112,0.102044155,0.089599746,0.126767048,0.039822109,0.117226335,-0.000497776,-0.001078515,8.29627E-05,-0.000663702,-0.000995553,-0.000663702,0.000165925,8.29627E-05,0.000248888,0.009955527,0.011531819,0.010453304,0.011697745,0.012278484,0.01277626,0.013854776,0.015679956,0.014684403
215,0.000497776,0.000331851,-0.000165925,-0.001078515,-0.000248888,-0.000331851,8.29627E-05,0.000331851,-0.000580739,0.088687156,0.071679797,0.072094611,0.105445627,0.103039708,0.092835293,0.129670744,0.039656184,0.11739226,-0.000414814,-0.000663702,0,-0.000995553,-0.000995553,-0.001244441,-0.000331851,0.000165925,-0.000248888,0.009955527,0.011946633,0.010204416,0.011614782,0.011614782,0.012112558,0.013191074,0.015431067,0.014518477
220,0.000414814,-8.29627E-05,-0.000248888,0,0.000248888,-0.000414814,0.000165925,0.000331851,-0.000248888,0.089350858,0.073173126,0.07450053,0.107104882,0.104698963,0.094826398,0.131495924,0.041647289,0.119632254,-8.29627E-05,-0.001244441,-0.000497776,-0.000995553,-0.001576292,-0.001244441,0,-0.000165925,-8.29627E-05,0.010204416,0.011614782,0.010536266,0.011448856,0.011946633,0.012859223,0.014684403,0.015265142,0.014518477
225,0.000165925,0.000248888,0.000580739,-0.000331851,-0.000165925,-0.000580739,0.000497776,0.000580739,0.000248888,0.090263448,0.074915343,0.076823486,0.110257465,0.105362665,0.096568615,0.132242588,0.042310991,0.121623359,-8.29627E-05,-0.000497776,0.000165925,-0.00091259,-0.000995553,-0.000580739,-0.000165925,0.000331851,0.000165925,0.009955527,0.012361446,0.010702192,0.01186367,0.011448856,0.01277626,0.01368885,0.015348105,0.015099216
230,0.000414814,0,-0.000663702,-0.000663702,0,0.000331851,0.000663702,0.000829627,0.000331851,0.091259001,0.077570151,0.0772383,0.11100413,0.10917895,0.098310833,0.134316657,0.042808768,0.123946316,-8.29627E-05,-0.00091259,-0.000580739,-0.001161478,-0.000746665,-0.000663702,-0.000331851,0.000331851,0.000248888,0.010287378,0.011282931,0.010370341,0.011448856,0.011946633,0.012610335,0.013522925,0.016177732,0.014186626
235,0.000165925,-0.000331851,-0.000331851,-0.000746665,-0.000331851,8.29627E-05,8.29627E-05,0,-8.29627E-05,0.092420479,0.078897554,0.079561256,0.114322639,0.111501906,0.099223423,0.135892948,0.042559879,0.125937421,-8.29627E-05,-0.000995553,-0.000497776,-0.00091259,-0.000746665,-0.000746665,-0.000497776,8.29627E-05,-0.000414814,0.009872565,0.011448856,0.01003849,0.011946633,0.011697745,0.013274036,0.013439962,0.015679956,0.013937738
240,0.000165925,0,-0.000248888,-0.000497776,8.29627E-05,-0.000248888,0.000414814,-8.29627E-05,-8.29627E-05,0.095573063,0.080473846,0.08088866,0.11556708,0.112331534,0.099721199,0.136141837,0.043057656,0.127347787,-0.000497776,-0.001244441,-0.000165925,-0.000746665,-0.001244441,-0.00091259,-8.29627E-05,-0.000165925,-0.000165925,0.009457751,0.01186367,0.010619229,0.011365894,0.011448856,0.012859223,0.014186626,0.015431067,0.01460144
